1) Manual test
2) Automatic test
    Size  MinSiz  MaxSiz  MutFac  WorstL  Thread  Genera  Gen/th    Solu  OptSol    Time   Error
     6;     20;     60;    0.1;    750;    751;    751;     80;     80;    304;      0;      1;
     6;     20;     60;    0.1;    750;   1502;    751;     80;     80;    309;      0;      2;
     6;     20;     60;    0.1;    750;   2253;    751;     80;     80;    313;      0;      3;
     6;     20;     60;    0.1;    750;   3004;    751;     80;     80;    308;      0;      4;
     6;     20;     60;    0.1;   1500;   1504;   1504;     80;     80;    302;      0;      1;
     6;     20;     60;    0.1;   1500;   3002;   1501;     80;     80;    302;      0;      2;
     6;     20;     60;    0.1;   1500;   4504;   1501;     80;     80;    304;      0;      3;
     6;     20;     60;    0.1;   1500;   6004;   1501;     80;     80;    311;      0;      4;
     6;     20;     60;    0.1;   3000;   3001;   3001;     80;     80;    301;      0;      1;
     6;     20;     60;    0.1;   3000;   6002;   3001;     80;     80;    303;      0;      2;
     6;     20;     60;    0.1;   3000;   9003;   3001;     80;     80;    305;      0;      3;
     6;     20;     60;    0.1;   3000;  12005;   3001;     80;     80;    304;      0;      4;
     6;     20;     60;    0.1;   6000;   6004;   6004;     80;     80;    301;      0;      1;
     6;     20;     60;    0.1;   6000;  12001;   6000;     80;     80;    303;      0;      2;
     6;     20;     60;    0.1;   6000;  18003;   6001;     80;     80;    304;      0;      3;
     6;     20;     60;    0.1;   6000;  24004;   6001;     80;     80;    609;      0;      4;
     6;     20;     60;    0.1;  12000;  12002;  12002;     80;     80;    601;      0;      1;
     6;     20;     60;    0.1;  12000;  24002;  12001;     80;     80;    602;      0;      2;
     6;     20;     60;    0.1;  12000;  36003;  12001;     80;     80;    625;      0;      3;
     6;     20;     60;    0.1;  12000;  48006;  12001;     80;     80;    932;      0;      4;
     6;     20;     60;    0.2;    750;    752;    752;     80;     80;    301;      0;      1;
     6;     20;     60;    0.2;    750;   1504;    752;     80;     80;    305;      0;      2;
     6;     20;     60;    0.2;    750;   2253;    751;     80;     80;    304;      0;      3;
     6;     20;     60;    0.2;    750;   3006;    751;     80;     80;    306;      0;      4;
     6;     20;     60;    0.2;   1500;   1503;   1503;     80;     80;    302;      0;      1;
     6;     20;     60;    0.2;   1500;   3002;   1501;     80;     80;    303;      0;      2;
     6;     20;     60;    0.2;   1500;   4510;   1503;     80;     80;    303;      0;      3;
     6;     20;     60;    0.2;   1500;   6004;   1501;     80;     80;    306;      0;      4;
     6;     20;     60;    0.2;   3000;   3009;   3009;     80;     80;    301;      0;      1;
     6;     20;     60;    0.2;   3000;   6002;   3001;     80;     80;    304;      0;      2;
     6;     20;     60;    0.2;   3000;   9003;   3001;     80;     80;    305;      0;      3;
     6;     20;     60;    0.2;   3000;  12006;   3001;     80;     80;    305;      0;      4;
     6;     20;     60;    0.2;   6000;   6002;   6002;     80;     80;    302;      0;      1;
     6;     20;     60;    0.2;   6000;  12002;   6001;     80;     80;    302;      0;      2;
     6;     20;     60;    0.2;   6000;  18003;   6001;     80;     80;    605;      0;      3;
     6;     20;     60;    0.2;   6000;  24004;   6001;     80;     80;    611;      0;      4;
     6;     20;     60;    0.2;  12000;  12002;  12002;     80;     80;    603;      0;      1;
     6;     20;     60;    0.2;  12000;  24002;  12001;     80;     80;    604;      0;      2;
     6;     20;     60;    0.2;  12000;  36003;  12001;     80;     80;    912;      0;      3;
     6;     20;     60;    0.2;  12000;  48008;  12002;     80;     80;    932;      0;      4;
     6;     20;     60;    0.4;    750;    751;    751;     80;     80;    301;      0;      1;
     6;     20;     60;    0.4;    750;   1504;    752;     80;     80;    301;      0;      2;
     6;     20;     60;    0.4;    750;   2255;    751;     80;     80;    306;      0;      3;
     6;     20;     60;    0.4;    750;   3004;    751;     80;     80;    306;      0;      4;
     6;     20;     60;    0.4;   1500;   1501;   1501;     80;     80;    301;      0;      1;
